Species,Common name,Adult weight (g),Male maturity (days),Gestation/Incubation (days),Litter/Clutch size,Maximum longevity (yrs)
harpyja,Harpy eagle,4800,,,,16.8
novaeguineae,New Guinea eagle,,,,,30
morphnoides,Little eagle,791,,,,10.3
mississippiensis,Mississippi kite,266,365,31,2,11.2
monogrammicus,Lizard buzzard,280.5,,,,8.6
isura,Square-tailed kite,585.5,,,,17
migrans,Black kite,1000,1095,,,24
milvus,Red kite,1080,1095,,,38
percnopterus,Egyptian vulture,2082,,,,37
unicinctus,Harris's hawk,994.26,365,34,3,25
apivorus,Western honey-buzzard,758,1095,,,29
jefferyi,Philippine eagle,6500,2555,63,1,41
sociabilis,Snail kite,352.5,365,30,3,17
ecaudatus,Bateleur,2200,,,,55
aura,Turkey vulture,2200,4015,39,2,20.8
atratus,Black vulture,2270,2920,35,2,25.5
californianus,California condor,11175,2190,57,1,45
papa,King vulture,3405,,57,,40
gryphus,Andean condor,10500,2555,56,1,79
haliaetus,Osprey,1362,1095,38,3,32
galericulata,Mandarin duck,570,,29,10.5,10.4
sponsa,Wood duck,452.8,365,31,12,22.5
aegyptiaca,Egyptian goose,1900,730,29,7,25.5
acuta,Northern pintail,721,240,22,7.5,27.4
americana,American wigeon,793.8,365,23,9,21.3
clypeata,Northern shoveler,613,240,23,11,22.6
crecca,Green-winged teal,343.8,180,22,10,27.1
cyanoptera,Cinnamon teal,411,365,23,10,12.9
discors,Blue-winged teal,420,240,24,10,23.2
fulvigula,Mottled duck,950,365,26,10,20
laysanensis,Laysan duck,500,365,28,3.8,12
penelope,Eurasian wigeon,660,365,24,8,35.2
platyrhynchos,Mallard,1048.1,365,26,9,29.1
querquedula,Garganey,326,365,,,14.7
rubripes,American black duck,998.7,365,28,9,26.6
strepera,Gadwall,791,240,26,10,28
albifrons,Greater white-fronted goose,2681,1095,27,5,47
anser,Greylag goose,3308.5,1095,,,31
brachyrhynchus,Pink-footed goose,2645,1095,,,40.9
fabalis,Bean goose,3348,1095,28,4,25.6
affinis,Lesser scaup,787,365,24,10,18.3
americana,Redhead,1077.3,365,26,13,22.6
collaris,Ring-necked duck,737,365,27,9,20.4
ferina,Common pochard,823,365,,,23.2
fuligula,Tufted duck,701.5,365,,,45.2
marila,Greater scaup,928.5,365,26,9,22.1
valisineria,Canvasback,1208.8,240,24,9,29.5
bernicla,Brent goose,1163.2,730,24,4,28.8
canadensis,Canada goose,3200,730,26,5,42
hutchinsii,Cackling goose,1940.1,,,,18.3
leucopsis,Barnacle goose,1687,730,,,28.2
sandvicensis,Hawaiian goose,2150,730,30,4,42
albeola,Bufflehead,400,730,30,8,18.7
clangula,Common goldeneye,895.86,730,30,10,18.4
islandica,Barrow's goldeneye,957.15,730,29,11,18
novaehollandiae,Cape barren goose,3980,,,,28.1
caerulescens,Snow goose,2806.65,730,24,4,27.5
canagica,Emperor goose,2148,365,24,4.9,12
rossii,Ross's goose,1715,570,21,4,22.5
hyemalis,Oldsquaw,872,730,24,7,22.7
buccinator,Trumpeter swan,13000,730,35,5,32.5
columbianus,Tundra swan,6350,730,31,4,24.1
cygnus,Whooper swan,9350,1460,,,26.5
olor,Mute swan,8300,1095,36,5.3,70
autumnalis,Black-bellied whistling duck,828,365,27,14,8.2
bicolor,Fulvous whistling duck,737.1,365,25,13,11.2
viduata,White-faced whistling duck,610,,27,8,12
histrionicus,Harlequin duck,561.25,365,28,6,14.6
cucullatus,Hooded merganser,634.375,730,31,11,15.7
fusca,White-winged scoter,1360.8,730,28,11,21.4
nigra,Black scoter,1052.2,730,29,9,16.8
perspicillata,Surf scoter,1097.5,730,,,9.5
albellus,Smew,610,,,,10
merganser,Common merganser,1445,730,30,10,14.8
serrator,Red-breasted merganser,1020.6,730,32,10,21.3
rufina,Red-crested pochard,1118,365,,,8.8
australis,Blue-billed duck,798,,,,16
jamaicensis,Ruddy duck,542,365,23,8,13.6
gambensis,Spur-winged goose,3869,,,,11.3
stelleri,Steller's eider,907.2,730,26,8,23
fischeri,Spectacled eider,1558,730,,4.7,18
mollissima,Common eider,2130,730,28,4,37.8
spectabilis,King eider,1617,730,23,5,18.9
tadorna,Common shelduck,1152,730,,,24.8
saxatalis,White-throated swift,31,,24,4,10
apus,Common swift,37.6,730,,,21.1
melba,Alpine swift,102.7,730,,,26
pelagica,Chimney swift,22.8,365,20,4.5,15
niger,Black swift,45,365,24,1,16.1
violiceps,Violet-crowned hummingbird,,,,,6.1
yucatanensis,Buff-bellied hummingbird,3.9,,,,11.2
alexandri,Black-chinned hummingbird,3,365,,2,11.2
colubris,Ruby-throated hummingbird,3.1,365,13,2,9.1
lucifer,Lucifer hummingbird,3.3,,15,2,4.1
anna,Anna's hummingbird,4.4,365,16,2,8.5
costae,Costa's hummingbird,3.1,,16,2,6
latirostris,Broad-billed hummingbird,3.3,365,17,2,8.8
fulgens,Magnificent hummingbird,8.1,365,14,2,11
clemenciae,Blue-throated hummingbird,7.6,,18,2,12
rhami,Garnet-throated hummingbird,7.8,,,,8
platycercus,Broad-tailed hummingbird,4.2,365,16,2,14
rufus,Rufous hummingbird,3.5,365,16,2,8.9
calliope,Calliope hummingbird,2.6,365,15,2,7
australis,Brown kiwi,2600,,75,1,35
bicornis,Great hornbill,2798.5,,,,33.4
subcylindricus,Grey-cheeked hornbill,1250,,,,31.8
atrata,Black-casqued hornbill,1203.5,,,,19.3
leadbeateri,Southern ground hornbill,3767.5,,,,70
epops,Eurasian hoopoe,67.1,365,,,11.1
carolinensis,Chuck-will's-widow,115,,20,2.5,14.8
europaeus,Eurasian nightjar,67,365,,,11.9
ruficollis,Red-necked nightjar,68.5,,,,13.2
vociferus,Whip-poor-will,54,,19,2,15
minor,Common nighthawk,79.3,,19,2,10
bennetti,Dwarf cassowary,35000,,,,26
casuarius,Southern cassowary,44000,,,,30
unappendiculatus,Northern cassowary,47300,,,,22
novaehollandiae,Emu,38925,,,,16.6
cristatella,Crested auklet,289,1095,34,1,10.8
pusilla,Least auklet,96,1095,30,1,8.1
pygmaea,Whiskered auklet,120,1095,,1,15
torda,Razorbill,726,1460,36,1,42
marmoratus,Marbled murrelet,222,730,,,10
columba,Pigeon guillemot,483.8,1095,31,2,15.2
grylle,Black guillemot,427.5,1095,25,2,29.9
monocerata,Rhinoceros auklet,544.1,1095,45,1,28.2
arctica,Atlantic puffin,490.5,1460,42,1,40.8
aleuticus,Cassin's auklet,184,730,,,16.2
hypoleucus,Xantus' murrelet,167,730,34,2,15
aalge,Common murre,992,1825,31,1,42.8
lomvia,Thick-billed murre,964,2081,33,1,29
oedicnemus,Eurasian thick-knee,459,,,,17.9
alexandrinus,Snowy plover,37,331,24,3,19
dubius,Little ringed plover,38.7,730,,,13
hiaticula,Common ringed plover,64,365,,,20.8
melodus,Piping plover,49,365,28,4,14
montanus,Mountain plover,100,365,,6,10
morinellus,Eurasian dotterel,108.5,,,,11.8
semipalmatus,Semipalmated plover,52,912,24,4,9.2
vociferus,Killdeer,88,365,24,4,10.9
apricaria,European golden-plover and greater golden-plover,214,730,,,12.8
dominica,American golden plover,118,365,26,4,13
fulva,Pacific golden-plover,135,365,,,21.3
squatarola,Black-bellied plover,224,730,27,4,25.6
armatus,Blacksmith lapwing,156,,29,,18.6
spinosus,Spur-winged lapwing,188,,,,17
vanellus,Northern lapwing,218.5,730,24,4,24.5
bachmani,Black oystercatcher,670,1825,26,2,16
ostralegus,Eurasian oystercatcher,480,1095,,,43.3
palliatus,American oystercatcher,565,1095,27,2,17
minutus,Black noddy,110.4,730,34,1,27.1
stolidus,Noddy tern,178,1460,35,1,26.2
niger,Black tern,60,730,21,3,21
genei,Slender-billed gull,281,730,,,31.7
ridibundus,Black-headed gull,306,730,22,3,32.9
nilotica,Gull-billed tern,221,1825,22,3,16
alba,Fairy tern,98.1,1764,36,1,35.9
minutus,Little gull,119,730,21,3,20.9
caspia,Caspian tern,644,1095,21,2,30
audouinii,Audouin's gull,535,1095,,,20.9
melanocephalus,Mediterranean gull,256,1095,,,22.1
inca,Inca tern,219,,28,,26
argentatus,Herring gull,1094,1460,26,3,49
cachinnans,Caspian gull,1117.2,1460,,,31.9
californicus,California gull,691,1095,25,3,30
canus,Mew gull,430.6,730,23,3,33.7
delawarensis,Ring-billed gull,518.5,730,21,3,31.8
fuscus,Lesser black-backed gull,766.2,1460,,,34.9
glaucescens,Glaucous-winged gull,908,,27,3,32
glaucoides,Iceland gull,945.5,1460,25,2.39,33
heermanni,Heermann's gull,500,,,,24
hyperboreus,Glaucous gull,1210,1460,27,3,21.1
marinus,Great black-backed gull,1658.5,1825,27,3,29.2
michahellis,Yellow-legged gull,,,,,19.2
occidentalis,Western gull,931.5,1460,27,3,33.9
pacificus,Pacific gull,1313.5,,,,14.5
atricilla,Laughing gull,275.6,,24,3,22
anaethetus,Bridled tern,133.3,,,,17.9
fuscatus,Sooty tern,148,1460,28,1,35.8
lunatus,Gray-backed tern,131.7,1825,,1,25.8
eburnea,Ivory gull,550,730,25,2,23.9
cerulea,Blue-gray noddy,53,,,,15
brevirostris,Red-legged kittiwake,377,,,,27
tridactyla,Black-legged kittiwake,317,1460,27,2,28.5
niger,Black skimmer,315,730,23,4,20.2
dougallii,Roseate tern,112,1095,23,2,25.7
forsteri,Forster's tern,158,730,23,3,15.8
hirundo,Common tern,120,1095,24,2.5,33
paradisaea,Arctic tern,100,1095,21,2,34
albifrons,Little tern,31,730,21,2,23.9
antillarum,Least tern,40,1095,21,2,24.1
elegans,Elegant tern,251,1095,26,1,20.9
maximus,Royal tern,373,1095,28,2,28.6
sandvicensis,Sandwich tern,250,1095,22,1,30.8
himantopus,Black-winged stilt,161,,,,10.2
mexicanus,Black-necked (Hawaiian) stilt,186,365,25,4,19.1
avosetta,Pied avocet,304,730,,,27.8
hypoleucos,Common sandpiper,48,365,,,14.5
macularius,Spotted sandpiper,34,365,20,4,12
interpres,Ruddy turnstone,136,730,22,4,22.3
longicauda,Upland sandpiper,141,,22,4,8.9
alba,Sanderling,50,730,27,4,18.6
alpina,Dunlin,52.5,730,21,4,28.8
canutus,Red knot,135,1095,22,4,27.3
ferruginea,Curlew sandpiper,58.1,1095,,,19.7
himantopus,Stilt sandpiper,57.3,730,,,11.1
maritima,Purple sandpiper,65.2,1095,22,4,20.8
mauri,Western sandpiper,26.19,730,21,4,9.2
minuta,Little stint,21.1,730,,,14.7
minutilla,Least sandpiper,26,365,20,4,16
pusilla,Semipalmated sandpiper,27,365,20,4,19.3
temminckii,Temminck's stint,23,,,,12.9
delicata,Wilson's snipe,122,,,,9.2
gallinago,Common snipe,131.6,365,19,4,18.2
falcinellus,Broad-billed sandpiper,37.1,,,,6.8
griseus,Short-billed dowitcher,105,365,21,4,13.3
scolopaceus,Long-billed dowitcher,130,,20,4,13.2
fedoa,Marbled godwit,336,1095,24,4,13.7
lapponica,Bar-tailed godwit,322,730,21,4,34
limosa,Black-tailed godwit,294,730,,,23.6
minimus,Jack snipe,50.2,365,,,12.3
arquata,Eurasian curlew,728,730,,,31.8
phaeopus,Whimbrel,365.7,730,22,4,24.2
tahitiensis,Bristle-thighed curlew,408.6,1065,,4,23.8
lobatus,Red-necked phalarope,33.8,365,,,12.9
tricolor,Wilson's phalarope,57,,23,4,10
pugnax,Ruff,136,730,,,13.9
minor,American woodcock,197.5,300,20,4,20.9
rusticola,Eurasian woodcock,308.3,365,,,15.5
erythropus,Spotted redshank,158,365,,,8.6
glareola,Wood sandpiper,62.5,365,,,11.6
nebularia,Common greenshank,187,365,,,24.4
ochropus,Green sandpiper,90,365,,,11.5
semipalmata,Willet,270,730,22,4,12.6
stagnatilis,Marsh sandpiper,77.5,,,,7.1
totanus,Common redshank,149,365,,,26.9
cinereus,Terek sandpiper,78.8,,,,16
antarcticus,Brown skua,1687,,,,28.8
longicaudus,Long-tailed jaeger,298,,23,2,14
maccormicki,South polar skua,1349,,,,23.5
parasiticus,Parasidic jaeger,445.5,1200,26,2,31.1
skua,Great skua,1340,2190,,,34.5
oscitans,Asian openbill,,,,,18
abdimii,Abdim's stork,1398,,,,21.6
boyciana,Oriental white stork,4850.5,,,,48.1
ciconia,European white stork,3350,1460,33,4,39
episcopus,Woolly-necked stork,2061,,,,30.2
maguari,Maguari stork,4000,,,,20.4
nigra,Black stork,2926,,,,31.3
asiaticus,Black-necked stork,4100,,,,34
senegalensis,Saddle-billed stork,6162.5,,,,30.2
mycteria,Jabiru,5470,,,,27.4
crumeniferus,Marabou,8000,1460,30,2,44.7
dubius,Greater adjutant,,,,,43
javanicus,Lesser adjutant,5710,,,,31.1
americana,Wood stork,2500,1460,30,3,27
cinerea,Milky stork,,,,,12.4
ibis,Yellow-billed stork,2166.5,,,,19.1
leucocephala,Painted stork,3180,,,,28.6
striatus,Speckled mousebird,51,,14,,11.5
nicobarica,Nicobar pigeon,519,,17,1,20.5
livia,Rock dove,358.7,140,18,2,35
oenas,Stock dove and stock pigeon,291,365,,,12.6
palumbus,Common wood-pigeon,490,365,,,17.7
inca,Inca dove,50,,14,2,13.3
passerina,Common ground dove,35,75,13,2,7.2
striata,Zebra dove,56.6,,,,14
verreauxi,White-tipped dove,147.5,,14,2,8.6
melanoleuca,Wonga pigeon,429,,,,16.3
fasciata,Band-tailed pigeon,315,365,19,1,18.5
leucocephala,White-crowned pigeon,247,365,,1,14.4
chinensis,Spotted dove,159,,15,2,9.8
decaocto,Eurasian collared-dove,157.4,365,15,2,17.9
risoria,Ring dove,,,,,12
turtur,European turtle-dove,132,365,,,13.2
asiatica,White-winged dove,140,365,13,2,25
macroura,Mourning dove,119,80,14,2,31.3
atthis,Common kingfisher,31.4,365,,,21
rudis,Pied kingfisher,84.4,,,,3.9
americana,Green kingfisher,34,,,3,5
novaeguineae,Laughing kookaburra,305,365,25,,26.8
smyrnensis,White-throated kingfisher,91.4,,,,5.5
benghalensis,Indian roller,158,,,,8.9
caudatus,Lilac-breasted roller,108,,21,,13.7
garrulus,European roller,146,,,,9.2
apiaster,European bee-eater,56.6,365,,,5.9
bullockoides,White-fronted bee-eater,34.8,,,,7
mexicanus,Russet-crowned motmot,75.7,,,,10.4
momota,Blue-crowned motmot,133,,21,,20.3
mexicanus,Puerto Rican tody,5.9,,,,12.6
americanus,Yellow-billed cuckoo,57.8,365,14,3,5
erythropthalmus,Black-billed cuckoo,37.5,365,14,2.5,5
canorus,Common cuckoo and Eurasian cuckoo,111.5,365,,,12.9
californianus,Greater roadrunner,376,365,20,4,9
vieilloti,Puerto Rican lizard cuckoo,81.9,,,,7.6
helias,Sunbittern,210,,27,2,15
cheriway,Crested caracara,1031,,32,2,25.8
plancus,Southern caracara,1348,,,,37.6
berigora,Brown falcon,593.5,,,,24
cherrug,Saker falcon,966,,,,15.9
columbarius,Merlin,195,365,30,5,12.7
eleonorae,Eleonora's falcon,390,,,,11.2
femoralis,Aplomado falcon,342.5,,32,2.64,12
mexicanus,Prairie falcon,858,365,31,4,17.2
naumanni,Lesser kestrel,152.5,365,,,10.9
peregrinus,Peregrine falcon,840,365,30,3,25
punctatus,Mauritius kestrel,169.5,,,,10
rusticolus,Gyrfalcon,1406.5,730,35,3.72,13.5
sparverius,American kestrel,117,365,29,4.6,17
subbuteo,Eurasian hobby,209.5,365,,,14.9
tinnunculus,Common kestrel,184,365,,,23.8
vespertinus,Red-footed falcon,152.5,,,,13.2
globulosa,Wattled curassow,2500,,,,20
rubra,Great curassow,4133,,,,24
tuberosum,Razor-billed curassow,2813,,,,23
vetula,Plain chachalaca,495.5,365,23,3,8.8
lathami,Brush turkey,2340,,,,12.5
maleo,Maleo,1564,,,,23
californica,California quail,138,274,22,14,9.6
gambelii,Gambel's quail,166,365,22,11,7.4
virginianus,Northern bobwhite,194,365,23,15,6.4
rufa,Red-legged partridge,528,,,,6.2
umbellus,Ruffed grouse,532,120,24,11,11
urophasianus,Sage grouse,1929.5,365,26,7,7
amherstiae,Lady Amherst's pheasant,738,,24,,19.6
pictus,Golden pheasant,625,365,22,10,13.4
chinensis,King quail,45,,,,5
coturnix,Common quail,96.5,365,,,14.6
japonica,Japanese quail,115,52,17,,6
obscurus,Blue grouse,1058.5,365,26,8,14
canadensis,Spruce grouse,417.3,365,20,5,13
francolinus,Black francolin,453,,19,7,7
pondicerianus,Grey francolin,334,,18,7.5,8
gallus,Red junglefowl,779.8,,,,30
lagopus,Willow ptarmigan,595.875,365,21,6,9
leucura,White-tailed ptarmigan,326,365,23,6,15
tetrix,Eurasian black grouse,1079,365,,,12.2
gallopavo,Wild turkey,6050,365,28,11,13
cristatus,Indian peafowl,4200,730,29,5,23.2
perdix,Grey partridge,492,365,24,16,5.2
colchicus,Common pheasant,1094.8,240,24,11,27
napoleonis,Palawan peacock-pheasant,550,365,19,2,15
reevesii,Reeves's pheasant,1239,,,,9.2
urogallus,Western capercaillie,2950,1095,,,18
bonasia,Hazel grouse,429,,,,7.2
cupido,Greater prairie chicken,908,183,23,13,5
pallidicinctus,Lesser prairie chicken,794.5,183,23,11,13.5
phasianellus,Sharp-tailed grouse,908,180,23,12,7.5
arctica,Black-throated diver,2724,1095,29,1.74,28
immer,Great northern diver,3405,1461,28,2,24.1
stellata,Red-throated diver,1816,1095,28,2,24
virgo,Demoiselle crane,2400,730,28,2,27
regulorum,Grey crowned crane,3372,1095,30,,27.2
americana,Whooping crane,7500,1460,31,2,40
antigone,Sarus crane,8663,,32,,41.8
canadensis,Sandhill crane,3890,1095,29,2,36.6
grus,Common crane,5500,1825,,,43
japonensis,Red-crowned crane,8500,1095,31,2,25.2
leucogeranus,Siberian crane,5931,,,,36.2
monacha,Hooded crane,3700,1040,,,24
rubicunda,Brolga,6250.5,,,,33
vipio,White-naped crane,5400,1095,31,2,45
americana,American coot,450.8,365,23,10,22.3
atra,Coot,734.3,365,,,20.6
chloropus,Common moorhen,392,365,19,9,18.6
australis,Weka,899.3,,,,13.8
aquaticus,Water rail,111.5,365,,,8.9
longirostris,Clapper rail,308,365,22,10,7.5
leucotis,White-cheeked turaco,265,,,,12.4
tarda,Great bustard,7895.5,,,,28.3
frontalis,White-browed scrubwren,13.4,365,,,17.6
